Year,Month,AvgTempDegF
1990,6,70.70
1990,7,73.10
1990,8,70.70
1990,9,66.50
1990,10,52.50
1990,11,47.10
1990,12,32.60
1991,1,25.20
1991,2,34.30
1991,3,43.60
1991,4,55.20
1991,5,68.60
1991,6,74.20
1991,7,75.60
1991,8,73.50
1991,9,65.80
1991,10,56.50
1991,11,38.40
1991,12,34.00
1992,1,30.50
1992,2,37.10
1992,3,41.80
1992,4,50.20
1992,5,60.10
1992,6,67.30
1992,7,72.60
1992,8,67.90
1992,9,63.90
1992,10,52.60
1992,11,41.70
1992,12,31.70
1993,1,29.40
1993,2,26.20
1993,3,37.00
1993,4,49.10
1993,5,62.60
1993,6,69.80
1993,7,76.20
1993,8,73.70
1993,9,61.00
1993,10,50.80
1993,11,40.60
1993,12,30.90
1994,1,20.10
1994,2,27.50
1994,3,39.70
1994,4,52.70
1994,5,58.80
1994,6,73.50
1994,7,73.40
1994,8,69.40
1994,9,64.30
1994,10,55.40
1994,11,47.20
1994,12,37.00
1995,1,27.40
1995,2,29.80
1995,3,43.80
1995,4,50.20
1995,5,60.20
1995,6,72.00
1995,7,75.50
1995,8,78.10
1995,9,63.30
1995,10,55.30
1995,11,35.90
1995,12,26.80
1996,1,24.50
1996,2,30.00
1996,3,34.10
1996,4,47.90
1996,5,60.90
1996,6,70.50
1996,7,71.60
1996,8,72.70
1996,9,63.40
1996,10,54.40
1996,11,35.20
1996,12,32.00
1997,1,21.70
1997,2,34.70
1997,3,42.50
1997,4,47.10
1997,5,56.60
1997,6,69.20
1997,7,73.90
1997,8,69.70
1997,9,65.40
1997,10,53.70
1997,11,38.40
1997,12,32.90
1998,1,34.20
1998,2,39.80
1998,3,40.60
1998,4,52.80
1998,5,66.60
1998,6,71.40
1998,7,73.60
1998,8,74.00
1998,9,69.90
1998,10,56.00
1998,11,44.70
1998,12,35.70
1999,1,26.20
1999,2,36.60
1999,3,36.90
1999,4,53.60
1999,5,63.70
1999,6,71.80
1999,7,77.50
1999,8,71.00
1999,9,65.90
1999,10,53.80
1999,11,47.90
1999,12,32.80
2000,1,26.50
2000,2,36.50
2000,3,44.80
2000,4,50.50
2000,5,64.40
2000,6,70.50
2000,7,71.90
2000,8,72.40
2000,9,64.70
2000,10,57.40
2000,11,40.20
2000,12,18.20
2001,1,26.00
2001,2,33.20
2001,3,37.00
2001,4,57.40
2001,5,64.40
2001,6,69.30
2001,7,73.80
2001,8,73.70
2001,9,63.80
2001,10,53.40
2001,11,49.30
2001,12,36.40
2002,1,33.80
2002,2,34.80
2002,3,37.90
2002,4,53.40
2002,5,58.70
2002,6,73.20
2002,7,77.00
2002,8,74.30
2002,9,68.60
2002,10,52.40
2002,11,39.70
2002,12,31.90
2003,1,20.80
2003,2,25.40
2003,3,42.50
2003,4,53.40
2003,5,60.90
2003,6,67.20
2003,7,73.30
2003,8,73.60
2003,9,63.10
2003,10,52.80
2003,11,45.80
2003,12,33.70
2004,1,24.40
2004,2,29.90
2004,3,44.50
2004,4,53.90
2004,5,66.60
2004,6,69.50
2004,7,71.80
2004,8,68.50
2004,9,67.30
2004,10,54.60
2004,11,46.10
